,borsa,idSottostante,cod_TradingClass,moltiplicatore,scadenza,strike,cod_tradingClass,motliplicatore
0,SMART,265598,,,20181214,2.5,AAPL,100
1,SMART,265598,,,20181214,5.0,AAPL,100
2,SMART,265598,,,20181214,7.5,AAPL,100
3,SMART,265598,,,20181214,10.0,AAPL,100
4,SMART,265598,,,20181214,12.5,AAPL,100
5,SMART,265598,,,20181214,15.0,AAPL,100
6,SMART,265598,,,20181214,17.5,AAPL,100
7,SMART,265598,,,20181214,20.0,AAPL,100
8,SMART,265598,,,20181214,22.5,AAPL,100
9,SMART,265598,,,20181214,25.0,AAPL,100
10,SMART,265598,,,20181214,30.0,AAPL,100
11,SMART,265598,,,20181214,35.0,AAPL,100
12,SMART,265598,,,20181214,40.0,AAPL,100
13,SMART,265598,,,20181214,42.5,AAPL,100
14,SMART,265598,,,20181214,45.0,AAPL,100
15,SMART,265598,,,20181214,47.5,AAPL,100
16,SMART,265598,,,20181214,50.0,AAPL,100
17,SMART,265598,,,20181214,55.0,AAPL,100
18,SMART,265598,,,20181214,60.0,AAPL,100
19,SMART,265598,,,20181214,65.0,AAPL,100
20,SMART,265598,,,20181214,70.0,AAPL,100
21,SMART,265598,,,20181214,75.0,AAPL,100
22,SMART,265598,,,20181214,80.0,AAPL,100
23,SMART,265598,,,20181214,85.0,AAPL,100
24,SMART,265598,,,20181214,90.0,AAPL,100
25,SMART,265598,,,20181214,95.0,AAPL,100
26,SMART,265598,,,20181214,97.5,AAPL,100
27,SMART,265598,,,20181214,100.0,AAPL,100
28,SMART,265598,,,20181214,105.0,AAPL,100
29,SMART,265598,,,20181214,110.0,AAPL,100
30,SMART,265598,,,20181214,115.0,AAPL,100
31,SMART,265598,,,20181214,120.0,AAPL,100
32,SMART,265598,,,20181214,125.0,AAPL,100
33,SMART,265598,,,20181214,130.0,AAPL,100
34,SMART,265598,,,20181214,135.0,AAPL,100
35,SMART,265598,,,20181214,140.0,AAPL,100
36,SMART,265598,,,20181214,141.0,AAPL,100
37,SMART,265598,,,20181214,142.0,AAPL,100
38,SMART,265598,,,20181214,143.0,AAPL,100
39,SMART,265598,,,20181214,144.0,AAPL,100
40,SMART,265598,,,20181214,145.0,AAPL,100
41,SMART,265598,,,20181214,146.0,AAPL,100
